Id,Probability
1,1
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,0
23,0
24,1
25,1
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,1
57,0
58,1
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,1
71,0
72,1
73,0
74,1
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,0
169,1
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,1
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,1
229,1
230,1
231,1
232,0
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,1
251,1
252,1
253,0
254,1
255,0
256,0
257,0
258,1
259,0
260,1
261,0
262,0
263,0
264,1
265,1
266,0
267,0
268,0
269,1
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,1
280,0
281,1
282,0
283,1
284,0
285,0
286,0
287,0
288,0
289,1
290,1
291,1
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,0
307,0
308,1
309,1
310,0
311,1
312,0
313,1
314,0
315,0
316,1
317,1
318,0
319,0
320,1
321,1
322,0
323,0
324,0
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,0
357,1
358,0
359,1
360,1
361,0
362,0
363,0
364,0
365,1
366,1
367,1
368,1
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,0
396,0
397,1
398,1
399,0
400,0
401,0
402,0
403,0
404,0
405,1
406,1
407,0
408,0
409,0
410,0
411,0
412,0
413,1
414,0
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,0
431,1
432,0
433,0
434,0
435,0
436,0
437,1
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,0
448,1
449,0
450,0
451,0
452,0
453,1
454,0
455,1
456,0
457,1
458,0
459,1
460,0
461,0
462,1
463,0
464,1
465,0
466,0
467,0
468,0
469,0
470,1
471,0
472,0
473,1
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,1
482,0
483,1
484,1
485,0
486,1
487,1
488,1
489,0
490,0
491,0
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,1
500,0
501,0
502,0
503,0
504,0
505,0
506,1
507,1
508,0
509,0
510,0
511,0
512,1
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,1
524,0
525,1
526,1
527,1
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,1
539,0
540,0
541,0
542,0
543,1
544,1
545,0
546,0
547,0
548,0
549,0
550,1
551,1
552,1
553,0
554,0
555,0
556,0
557,0
558,0
559,1
560,0
561,0
562,0
563,1
564,0
565,1
566,0
567,0
568,0
569,1
570,0
571,0
572,0
573,0
574,0
575,1
576,0
577,1
578,0
579,1
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,1
589,0
590,0
591,1
592,0
593,0
594,0
595,1
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,1
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,1
625,1
626,1
627,1
628,0
629,0
630,1
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,1
643,0
644,1
645,1
646,1
647,0
648,1
649,0
650,0
651,1
652,0
653,0
654,1
655,0
656,0
657,0
658,0
659,1
660,1
661,0
662,0
663,1
664,1
665,1
666,0
667,0
668,1
669,1
670,0
671,0
672,1
673,0
674,0
675,1
676,1
677,0
678,0
679,0
680,0
681,0
682,0
683,1
684,0
685,0
686,0
687,0
688,0
689,1
690,0
691,0
692,1
693,0
694,0
695,0
696,0
697,0
698,0
699,1
700,0
701,0
702,1
703,1
704,1
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,1
713,0
714,0
715,0
716,1
717,0
718,0
719,0
720,0
721,0
722,0
723,1
724,0
725,1
726,0
727,0
728,0
729,1
730,1
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,1
747,0
748,0
749,0
750,0
751,1
752,0
753,0
754,0
755,0
756,0
757,1
758,0
759,0
760,0
761,0
762,0
763,1
764,0
765,0
766,1
767,0
768,1
769,0
770,1
771,0
772,1
773,0
774,0
775,0
776,0
777,1
778,0
779,0
780,1
781,0
782,0
783,0
784,0
785,0
786,1
787,0
788,0
789,0
790,0
791,0
792,1
793,0
794,0
795,1
796,0
797,1
798,0
799,1
800,0
801,0
802,0
803,1
804,0
805,0
806,0
807,0
808,1
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,1
834,0
835,1
836,0
837,1
838,0
839,1
840,1
841,1
842,0
843,1
